"";"NU_IDADE_REFERENCIA";"CO_MUNICIPIO_END";"CO_UF_END";"CO_MUNICIPIO_END";"TP_DEPENDENCIA";"TP_ETAPA_ENSINO";"CO_REGIAO";"CO_MESORREGIAO";"CO_UF";"CO_MUNICIPIO";"CO_DISTRITO"
"354";17;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"355";6;1301902;13;1301902;2;15;1;1303;13;1301902;130190205
"356";11;1301902;13;1301902;3;18;1;1303;13;1301902;130190205
"357";12;1301902;13;1301902;3;20;1;1303;13;1301902;130190205
"358";17;1301902;13;1301902;3;70;1;1303;13;1301902;130190205
"359";8;1301902;13;1301902;3;16;1;1303;13;1301902;130190205
"360";6;1301902;13;1301902;3;14;1;1303;13;1301902;130190205
"361";10;1301902;13;1301902;3;NA;1;1303;13;1301902;130190205
"362";7;1301902;13;1301902;2;15;1;1303;13;1301902;130190205
"363";8;1301902;13;1301902;2;16;1;1303;13;1301902;130190205
"364";12;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"365";7;1301902;13;1301902;3;16;1;1303;13;1301902;130190205
"366";15;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"367";16;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"368";16;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"369";12;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"370";12;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"371";13;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"372";38;NA;NA;NA;3;70;1;1303;13;1301902;130190205
"373";8;1301902;13;1301902;3;16;1;1303;13;1301902;130190205
"374";12;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"375";15;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"376";18;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"377";13;1301902;13;1301902;3;21;1;1303;13;1301902;130190205
"378";8;1301902;13;1301902;3;16;1;1303;13;1301902;130190205
"379";22;1301902;13;1301902;4;17;1;1303;13;1301902;130190205
"380";14;1301902;13;1301902;2;41;1;1303;13;1301902;130190205
"381";15;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"382";14;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"383";10;1301902;13;1301902;3;18;1;1303;13;1301902;130190205
"384";10;1301902;13;1301902;3;18;1;1303;13;1301902;130190205
"385";7;1301902;13;1301902;3;15;1;1303;13;1301902;130190205
"386";20;1301902;13;1301902;1;40;1;1303;13;1301902;130190205
"387";42;NA;NA;NA;1;40;1;1303;13;1301902;130190205
"388";17;1301902;13;1301902;1;32;1;1303;13;1301902;130190205
"389";9;1301902;13;1301902;3;17;1;1303;13;1301902;130190205
"390";9;1301902;13;1301902;3;16;1;1303;13;1301902;130190205
"391";15;1301902;13;1301902;3;21;1;1303;13;1301902;130190205
"392";14;1301902;13;1301902;3;41;1;1303;13;1301902;130190205
"393";6;1301902;13;1301902;3;14;1;1303;13;1301902;130190205
"394";13;1301902;13;1301902;3;21;1;1303;13;1301902;130190205
